Transect,Treatment,Grasshopper source,Temp,Lupine source,Total
GB,6,High,32,High,0.255
GB,8,High,32,Low,0.4687
GB,4,Low,32,High,0.149
GB,2,Low,32,Low,0.0111
GB,4,Low,32,High,0.067
GB,6,High,32,High,0.1946
GB,4,Low,32,High,0.062
GB,2,Low,32,Low,0.2361
GB,8,Low,32,Low,0.2831
GB,6,High,32,High,0.0444
GB,8,High,32,Low,0.2191
GB,8,High,32,Low,0.1608
GB,7,High,25,Low,0.0841
GB,3,Low,25,High,0.0214
GB,1,Low,25,Low,0.1168
GB,7,High,25,Low,0.0831
GB,1,Low,25,Low,0.1213
GB,3,Low,25,High,0.2286
GB,3,Low,25,High,0.1486
GB,1,Low,25,Low,0.1504
GB,3,Low,25,High,0.0709
GB,3,Low,25,High,0.0107
GB,7,High,25,Low,0.2023
GB,5,High,25,High,0.0394
GB,7,High,25,Low,0.1023
GB,7,High,25,Low,0.2354
GB,1,Low,25,Low,0.1221
GB,1,Low,25,Low,0.0424
GB,5,High,25,High,0.151
GB,1,Low,25,Low,0.0804
GB,3,Low,25,High,0.0317
GB,3,Low,25,High,0.1315
GB,3,Low,25,High,0.103
GB,3,Low,25,High,0.0342
GB,1,Low,25,Low,0.2028
GB,7,High,25,Low,0.1375
GB,7,High,25,Low,0.093
GB,1,Low,25,Low,0.0463
GB,5,High,25,High,0.1109
GB,7,High,25,Low,0.1195
GB,5,High,25,High,0.1279
GB,5,High,25,High,0.0197
GB,3,Low,25,High,0.0398
GB,5,High,25,High,0.0897
GB,1,Low,25,Low,0.0623
GB,8,High,32,Low,0.2223
GB,8,High,32,Low,0.0699
GB,2,Low,32,Low,0.2378
GB,2,Low,32,Low,0.0999
GB,6,High,32,High,0.3235
GB,2,Low,32,Low,0.0174
GB,8,High,32,Low,0.0858
GB,4,Low,32,High,0.047
GB,4,Low,32,High,0.0668
GB,6,High,32,High,0.0357
GB,4,Low,32,High,0.0111
GB,8,High,32,Low,0.1851
GB,2,Low,32,Low,0.1396
PA,7,High,25,Low,0.032
PA,3,Low,25,High,0.1345
PA,1,Low,25,Low,0.1574
PA,3,Low,25,High,0.047
PA,1,Low,25,Low,0.2289
PA,3,Low,25,High,0.0101
PA,1,Low,25,Low,0.115
PA,3,Low,25,High,0.0489
PA,5,High,25,High,0.0596
PA,5,High,25,High,0.0449
PA,1,Low,25,Low,0.1142
PA,1,Low,25,Low,0.1427
PA,7,High,25,Low,0.24484
PA,7,High,25,Low,0.0806
PA,7,High,25,Low,0.0711
PA,3,Low,25,High,0.0325
PA,5,High,25,High,0.0605
PA,5,High,25,High,0.0776
PA,1,Low,25,Low,0.0355
PA,3,Low,25,High,0.0601
PA,5,High,25,High,0.0528
PA,7,High,25,Low,0.1343
PA,5,High,25,High,0.0086
PA,7,High,25,Low,0.1598
PA,3,Low,25,High,0.0401
PA,2,Low,32,Low,0.2386
PA,6,High,32,High,0.1219
PA,4,Low,32,High,0.0283
PA,6,High,32,High,0.2197
PA,2,Low,32,Low,0.2433
PA,6,High,32,High,0.0612
PA,4,Low,32,High,0.034
PA,2,Low,32,Low,0.2042
PA,8,High,32,Low,0.177
PA,8,High,32,Low,0.0764
PA,4,Low,32,High,0.0699
PA,4,Low,32,High,0.163
PA,6,High,32,High,0.104
PA,8,High,32,Low,0.2919
PA,2,Low,32,Low,0.0303
