"","Transect","Elev","Plot","DOY","Field_week","Soilmo_av","Species","Veg","Buds","Flowers","Fruit","Disp","Plants_obs","Leaves_obs","X0","X1","X5","X10","X25","X50","X75","X100","Year","percleavesdamaged","apparentleafdamage","PlantID","Plot.ID","Topography","gdd_2016","gdd_2017","gdd_2018","Cover","sdddoy_2016","sdddoy_2017","sdddoy_2018","gdd","SDDDOY"
"1","GB",1668,"1",209,5,0.1877,"LUPARC",1,1,0,0,0,4,80,78,0,1,1,0,0,0,0,"2016",0.025,0.0013125,"GB_1668_1_LUPARC","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,320,184
"4","GB",1668,"1",197,3,0.2433,"LUPARC",1,0,0,0,0,5,40,37,0,1,0,1,1,0,0,"2016",0.075,0.0145,"GB_1668_1_LUPARC","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,320,184
"6","GB",1668,"1",235,9,0.1633,"LUPARC",1,0,0,1,0,4,30,9,8,8,4,1,0,0,0,"2016",0.7,0.0251666666666667,"GB_1668_1_LUPARC","GB-1668-1","Ridge ",320,382,356,11.18,184,181,166,320,184
"10","GB",1668,"2",209,5,0.2167,"LUPARC",1,1,0,0,0,5,40,36,3,1,0,0,0,0,0,"2016",0.1,0.001125,"GB_1668_2_LUPARC","GB-1668-2","Ridge ",320,382,356,12.22,183,177,165,320,183
"13","GB",1668,"2",237,9,2.0763,"LUPARC",1,0,0,1,0,2,40,28,1,7,3,0,1,0,0,"2016",0.3,0.020375,"GB_1668_2_LUPARC","GB-1668-2","Ridge ",320,382,356,12.22,183,177,165,320,183
"16","GB",1668,"3",237,9,NA,"LUPARC",1,0,0,1,0,3,60,43,7,6,3,1,0,0,0,"2016",0.283333333333333,0.01025,"GB_1668_3_LUPARC","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,320,181
"18","GB",1668,"3",197,3,0.2173,"LUPARC",1,1,0,0,0,4,80,73,1,1,3,0,1,1,0,"2016",0.0875,0.01575,"GB_1668_3_LUPARC","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,320,181
"22","GB",1668,"3",209,5,0.182,"LUPARC",1,1,1,0,0,5,50,47,1,2,0,0,0,0,0,"2016",0.06,0.0013,"GB_1668_3_LUPARC","GB-1668-3","Ridge ",320,382,356,28.6,181,174,165,320,181
"24","GB",1668,"4",197,3,0.2687,"LUPARC",1,0,0,0,0,6,60,55,4,1,0,0,0,0,0,"2016",0.0833333333333333,0.000833333333333333,"GB_1668_4_LUPARC","GB-1668-4","Slope",320,382,356,27.56,183,182,172,320,183
"27","GB",1668,"4",237,9,0.078,"LUPARC",1,0,0,1,0,3,50,38,3,4,4,1,0,0,0,"2016",0.24,0.0122,"GB_1668_4_LUPARC","GB-1668-4","Slope",320,382,356,27.56,183,182,172,320,183
"29","GB",1668,"4",222,7,0.184,"LUPARC",1,0,1,0,0,4,60,55,0,2,0,2,1,0,0,"2016",0.0833333333333333,0.0130833333333333,"GB_1668_4_LUPARC","GB-1668-4","Slope",320,382,356,27.56,183,182,172,320,183
"31","GB",1668,"4",209,5,0.182,"LUPARC",1,1,1,0,0,5,45,4,40,0,1,0,0,0,0,"2016",0.911111111111111,0.00611111111111111,"GB_1668_4_LUPARC","GB-1668-4","Slope",320,382,356,27.56,183,182,172,320,183
"33","GB",1668,"5",209,5,0.1653,"LUPARC",1,0,0,0,0,5,100,91,0,2,4,1,2,0,0,"2016",0.09,0.01285,"GB_1668_5_LUPARC","GB-1668-5","Slope",320,382,356,34.06,182,178,169,320,182
"38","GB",1668,"5",197,3,0.333,"LUPARC",1,0,0,0,0,4,50,47,1,1,0,0,1,0,0,"2016",0.06,0.0082,"GB_1668_5_LUPARC","GB-1668-5","Slope",320,382,356,34.06,182,178,169,320,182
"39","GB",1668,"5",222,7,NA,"LUPARC",1,0,1,0,0,2,40,36,0,2,0,1,0,1,0,"2016",0.1,0.0215,"GB_1668_5_LUPARC","GB-1668-5","Slope",320,382,356,34.06,182,178,169,320,182
"40","GB",1668,"5",222,7,NA,"LUPARC",1,1,1,0,0,5,80,74,3,1,0,1,1,0,0,"2016",0.075,0.0074375,"GB_1668_5_LUPARC","GB-1668-5","Slope",320,382,356,34.06,182,178,169,320,182
"41","GB",1668,"5",237,9,NA,"LUPARC",1,0,0,1,0,3,60,53,1,3,3,0,0,0,0,"2016",0.116666666666667,0.00533333333333333,"GB_1668_5_LUPARC","GB-1668-5","Slope",320,382,356,34.06,182,178,169,320,182
"45","GB",1668,"6",209,5,0.156,"LUPARC",1,1,0,0,0,5,100,89,3,5,2,0,1,0,0,"2016",0.11,0.0069,"GB_1668_6_LUPARC","GB-1668-6","Slope",320,382,356,20.28,184,181,170,320,184
"48","GB",1668,"6",222,7,0.2347,"LUPARC",1,0,1,0,0,3,60,52,2,3,2,1,0,0,0,"2016",0.133333333333333,0.00708333333333333,"GB_1668_6_LUPARC","GB-1668-6","Slope",320,382,356,20.28,184,181,170,320,184
"49","GB",1668,"6",197,3,0.1607,"LUPARC",1,0,0,0,0,4,50,44,1,4,1,0,0,0,0,"2016",0.12,0.004,"GB_1668_6_LUPARC","GB-1668-6","Slope",320,382,356,20.28,184,181,170,320,184
"50","GB",1668,"6",237,9,NA,"LUPARC",1,0,0,1,0,4,58,53,1,0,4,0,0,0,0,"2016",0.0862068965517241,0.00525862068965517,"GB_1668_6_LUPARC","GB-1668-6","Slope",320,382,356,20.28,184,181,170,320,184
"56","GB",1668,"7",222,7,0.343,"LUPARC",1,1,1,0,0,6,60,52,4,3,1,0,0,0,0,"2016",0.133333333333333,0.00308333333333333,"GB_1668_7_LUPARC","GB-1668-7","Cove",320,382,356,65.78,190,188,185,320,190
"58","GB",1668,"7",237,9,0.166,"LUPARC",1,0,0,1,0,3,50,41,1,0,5,3,0,0,0,"2016",0.18,0.0181,"GB_1668_7_LUPARC","GB-1668-7","Cove",320,382,356,65.78,190,188,185,320,190
"59","GB",1668,"7",209,5,0.256,"LUPARC",1,0,0,0,0,10,40,38,2,0,0,0,0,0,0,"2016",0.05,0.00025,"GB_1668_7_LUPARC","GB-1668-7","Cove",320,382,356,65.78,190,188,185,320,190
"68","GB",1668,"8",237,9,0.1743,"LUPARC",1,0,0,1,0,4,60,46,4,3,3,4,0,0,0,"2016",0.233333333333333,0.01725,"GB_1668_8_LUPARC","GB-1668-8","Cove",320,382,356,59.54,190,188,183,320,190
"74","GB",1668,"8",197,3,0.322,"LUPARC",1,1,1,0,0,5,50,37,6,5,1,1,0,0,0,"2016",0.26,0.0086,"GB_1668_8_LUPARC","GB-1668-8","Cove",320,382,356,59.54,190,188,183,320,190
"75","GB",1668,"8",209,5,0.256,"LUPARC",1,1,0,0,0,5,80,78,1,1,0,0,0,0,0,"2016",0.025,0.0004375,"GB_1668_8_LUPARC","GB-1668-8","Cove",320,382,356,59.54,190,188,183,320,190
"76","GB",1668,"8",222,7,0.2127,"LUPARC",1,0,1,0,0,6,60,52,4,4,0,0,0,0,0,"2016",0.133333333333333,0.00233333333333333,"GB_1668_8_LUPARC","GB-1668-8","Cove",320,382,356,59.54,190,188,183,320,190
"77","GB",1668,"9",237,9,NA,"LUPARC",1,0,0,1,0,4,70,52,7,7,2,0,2,0,0,"2016",0.257142857142857,0.0163571428571429,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
"78","GB",1668,"9",222,7,NA,"LUPARC",1,1,1,0,0,5,50,43,4,1,2,0,0,0,0,"2016",0.14,0.004,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
"79","GB",1668,"9",209,5,0.2197,"LUPARC",1,1,0,0,0,5,57,54,3,0,0,0,0,0,0,"2016",0.0526315789473684,0.000263157894736842,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
"80","GB",1668,"9",209,5,0.2393,"LUPARC",1,0,0,0,0,5,45,40,0,2,0,0,0,2,1,"2016",0.111111111111111,0.0485555555555556,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
