Data.enterer,Envelope.ID,Species,Elevation,Plot_ID,Leaves,Fresh_wt,Dry_wt,Notes.mass,Notes.area,Area_tot,n_leaves,LMA_g.cm2,LL_months_guess,LMA_g.m2,log.LMA,log.LL
BS,LUPARC-1490-1-1,LUPARC,1490,1,1,0.622,0.0866,,NA,37.84,1,0.002288584,3.5,22.8858351,1.359566764,0.544068044
BS,LUPARC-1490-1-2,LUPARC,1490,1,2,0.499,0.0703,,NA,34.903,1,0.002014154,3.5,20.14153511,1.304092568,0.544068044
BS,LUPARC-1490-1-3,LUPARC,1490,1,3,0.33,0.0523,,NA,24.672,1,0.002119812,3.5,21.19811933,1.326297332,0.544068044
BS,LUPARC-1490-3-1,LUPARC,1490,3,1,0.274,0.0389,,NA,18.339,1,0.002121163,3.5,21.2116255,1.326573951,0.544068044
BS,LUPARC-1490-3-2,LUPARC,1490,3,2,0.207,0.0257,,NA,14.895,1,0.001725411,3.5,17.25411212,1.236892616,0.544068044
BS,LUPARC-1490-3-3,LUPARC,1490,3,3,0.455,0.0678,,NA,27.917,1,0.002428628,3.5,24.28627718,1.385360947,0.544068044
BS,LUPARC-1490-4-1,LUPARC,1490,4,1,0.571,0.0723,,NA,31.998,1,0.002259516,3.5,22.5951622,1.354015463,0.544068044
BS,LUPARC-1490-4-2,LUPARC,1490,4,2,0.488,0.0741,,NA,28.811,1,0.002571934,3.5,25.71934331,1.410259876,0.544068044
BS,LUPARC-1490-4-3,LUPARC,1490,4,3,0.265,0.0347,,NA,16.043,1,0.002162937,3.5,21.62937107,1.335043891,0.544068044
BS,LUPARC-1490-5-1,LUPARC,1490,5,1,0.415,0.0577,,NA,24.387,1,0.002366015,3.5,23.6601468,1.374017435,0.544068044
BS,LUPARC-1490-5-2,LUPARC,1490,5,2,0.537,0.0677,,NA,31.854,1,0.002125322,3.5,21.25321781,1.327424693,0.544068044
BS,LUPARC-1490-5-3,LUPARC,1490,5,3,0.446,0.055,,NA,26.083,1,0.002108653,3.5,21.08653146,1.324005148,0.544068044
BS,LUPARC-1490-6-1,LUPARC,1490,6,1,0.475,0.0665,,NA,28.19,1,0.002358993,3.5,23.58992551,1.372726569,0.544068044
KN,LUPARC-1490-6-2,LUPARC,1490,6,2,0.59,0.072,,NA,33.422,1,0.00215427,3.5,21.54269643,1.333300062,0.544068044
BS,LUPARC-1490-6-3,LUPARC,1490,6,3,0.376,0.0536,,NA,20.361,1,0.002632484,3.5,26.3248367,1.420365686,0.544068044
BS,LUPARC-1570-5-1,LUPARC,1570,5,1,0.401,0.0687,,NA,19.062,1,0.003604029,3,36.04028958,1.556788272,0.477121255
BS,LUPARC-1570-5-2,LUPARC,1570,5,2,0.378,0.0542,,NA,14.608,1,0.003710296,3,37.10295728,1.569408526,0.477121255
KN,LUPARC-1570-5-3,LUPARC,1570,5,3,0.662,0.113,,NA,29.791,1,0.003793092,3,37.93091873,1.578993362,0.477121255
