time,Site,Species,Damage,Plot,Plant,Leaf position,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_605,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,absorbance_650,absorbance_420
8/15/18 5:03,PA-1901,LUPARC,Medium (5-25%),1,L2,Top,7927,3713,556,1175,18.67,45.402344,812.899292,18.620001,45.267578,813.488098,18.15,0.01,25296.09,25307.98,0.513098478,5.00E-04,6.82E-05,6.7635,1.233,1.285,0.468,0.426,0.493,0.423,76.51,1,455,10281,123.91,2731,41661.5,122.6,6159.5,41665,106.06,50.3,1,81.63,1,162.19,1,-4.27,1,2.51,1,-4.48,1,469.4252669,0.233,0.044,0.061,0.722,0.066,0.821,0.284,58.417,20325.949,15580.2,3630,0.305,1.27921,0.41833,0.41228,-5774963.747,-0.998,556,-0.52,50.29882155,1,18.67,45.402344,10.65,755,287,264,NA,NA
8/15/18 5:04,PA-1901,LUPARC,High (25-100%),1,L2,Top,7130,4508,681,1460,19.51,46.773438,812.912659,19.5,46.607422,813.517944,18.55,0.89,29010.25,29001.53,0.391783133,0,0,0,1.119,1.116,0.459,0.419,0.447,0.407,66.01,1,815,10509,99.55,5062,42636,96.8,11445,42686.5,80.21,40.05,1,65.75,1,118.31,1,-4,1,-1.14,1,-5.17,1,415.5355872,0.253,0.09,0.137,0.657,0.079,0.811,0.312,77.609,17243.794,12876.8,3257,0.339,1.33371,0.54028,0.5296,-6220569.053,-0.992,681,-0.96,40.0462963,1,19.51,46.773438,25.16,948,354,326,1.454,1.642
8/15/18 5:05,PA-1901,LUPARC,High (25-100%),1,L2,Top,7046,4649,490,1024,19.969999,45.707031,812.930603,19.959999,45.546875,813.512634,15.59,1.38,30106.91,30170.07,0.933373139,NA,NA,NA,1.107,1.222,0.531,0.497,0.551,0.471,57.58,1,837.5,8900,91.15,5215,36098,88.28,11779.5,36105.5,71.69,36.51,1,69.14,1,94.55,1,-3.38,1,2.02,1,-5.98,1,409.8558719,0.274,0.03,0.043,0.696,0.081,0.824,0.332,60.34,13883.285,10084.1,2445,0.377,1.21818,0.33747,0.3326,-3961726.493,-0.999,490,-4.379999,36.51094276,1,19.969999,45.707031,22.8,652,252,231,1.442,1.476
8/15/18 5:08,PA-1901,LUPARC,High (25-100%),1,L2,Top,6902,12644,733,1572,20.700001,47.693359,813.007751,20.68,47.689453,813.544556,20.9,0.02,29459.23,29453.99,0.403787366,0,0,0,0.707,0.657,0.405,0.367,0.329,0.321,30.2,1,4032,11897,35.5,26061,48427.5,31.16,59072.5,48436.5,14.42,13.09,1,25.21,1,34.95,1,-3.78,1,-7.61,1,-8.4,1,400.1192171,0.271,0.085,0.131,0.645,0.086,0.812,0.334,89.356,16121.968,11754.5,3034,0.372,1.3088,0.52322,0.51259,-5894244.907,-0.999,733,0.199999,13.08922559,1,20.700001,47.693359,29.79,1022,379,348,0.76,0.754
8/15/18 5:14,PA-1901,LUPARC,Medium (5-25%),1,B49,Top,6978,9509,865,1859,21.190001,42.789062,812.942627,21.209999,42.641602,813.510925,22,0.03,30590.66,30597.13,0.269547249,0,0,0,0.854,0.761,0.416,0.378,0.406,0.378,43.76,1,2947.5,11598,48.01,19024.5,47199.5,43.72,43109,47216,26.99,18.35,1,34.52,1,50.03,1,-3.75,1,-0.95,1,-3.79,1,405.2580071,0.207,0.148,0.23,0.644,0.066,0.799,0.259,80.644,14485.914,11484.7,2917,0.261,1.3367,0.70241,0.69075,-4060022.154,-0.999,865,0.809999,18.3543771,1,21.190001,42.789062,31.97,1211,447,411,0.896,0.916
8/15/18 5:15,PA-1901,LUPARC,Medium (5-25%),1,B49,Top,7234,10329,809,1716,21.5,42.301758,812.950256,21.52,42.245117,813.501404,22.86,0.01,30549.08,30563.6,0.1399419,3.00E-04,1.26E-05,27.2454,0.813,0.765,0.432,0.393,0.327,0.326,38.15,1,3369.5,11186.5,40.62,21738,45447,36.28,49261,45463.5,19.56,15.24,1,33.34,1,37.08,1,-3.87,1,-10.5,1,-10.53,1,422.5676157,0.273,0.162,0.286,0.565,0.099,0.791,0.345,99.365,13878.491,10090.4,2895,0.375,1.35474,0.65259,0.63568,-5642609.852,-0.999,809,1.36,15.24410774,1,21.5,42.301758,30.43,1104,418,383,0.838,0.802
8/15/18 5:16,PA-1901,LUPARC,Medium (5-25%),1,B49,Top,7478,7438,347,738,21.92,42.308594,813.032043,21.91,41.822266,813.499695,19.85,0.2,30321.31,30332.42,0.519243524,4.00E-04,2.18E-05,16.27,0.952,0.853,0.427,0.409,0.494,0.416,52.43,1,2331.5,11301,57.06,14995.5,45989,52.92,33980,46007,36.2,22.16,1,42.56,1,65.04,1,-1.81,1,6.72,1,-1.13,1,439.0658363,0.358,0.157,0.324,0.485,0.151,0.787,0.455,55.882,14542.202,9337.9,3104,0.557,1.20317,0.68347,0.66602,-5695303.199,-0.998,347,-2.07,22.16329966,1,21.92,42.308594,35.64,471,187,171,0.998,1.078
8/15/18 5:16,PA-1901,LUPARC,Medium (5-25%),1,B49,Top,7937,5095,770,1639,21.940001,42.451172,813.025452,21.93,42.426758,813.511902,21.33,0.05,28262.97,28287.42,0.400322029,6.00E-04,0.00010672,5.2445,1.107,1.115,0.47,0.418,0.447,0.418,63.69,1,1264,10239.5,79.37,8013,41639,75.82,18128.5,41654,59.17,31.55,1,64.5,1,83.54,1,-5.17,1,-2.3,1,-5.23,1,470.1014235,0.274,0.172,0.311,0.553,0.102,0.788,0.348,95.081,16544.867,12004.9,3504,0.378,1.31096,0.68708,0.67052,-6238054.955,-0.996,770,-0.610001,31.5530303,1,21.940001,42.451172,26.7,1056,401,368,1.264,1.305
8/15/18 5:19,PA-1901,LUPARC,Medium (5-25%),1,L3,Top,7859,3015,777,1647,24.65,38.901367,813.008423,24.68,38.967773,813.608765,21.81,0.54,25150.81,25186.53,0.83264364,0.001,0.00010294,10.197,1.31,1.387,0.501,0.466,0.53,0.471,80.89,1,340.5,9535,133.23,2010.5,38776.5,132.78,4530.5,38790,116.3,54.22,1,88.57,1,211.74,1,-3.53,1,2.87,1,-3.03,1,464.8274021,0.336,0.144,0.276,0.52,0.132,0.793,0.424,117.553,14869.218,9870.2,3082,0.506,1.33547,0.58527,0.5658,-7662864.714,-0.997,777,-2.84,54.22138047,1,24.65,38.901367,47.1,1062,398,364,NA,NA
8/15/18 5:22,PA-1901,LUPARC,Medium (5-25%),1,L3,Top,7143,4913,516,1131,23.41,43.066406,813.063904,23.49,43.089844,813.630493,21.67,1.9,35167.68,35177.56,0.304253718,0,0,0,1.082,1.046,0.623,0.602,0.563,0.543,45.9,1,2180,7192.5,40.35,13986.5,29152.5,36.15,31666.5,29162,19.46,15.13,1,42.23,1,35.51,1,-2.09,1,-6.05,1,-8.06,1,416.4145907,0.26,0.117,0.187,0.623,0.086,0.804,0.324,60.437,19300.435,14276.9,3776,0.352,1.21506,0.67739,0.66713,-5095075.152,-1,516,-1.74,15.13047138,1,23.41,43.066406,39.19,745,273,249,1.027,0.979
