Transect,Elev,Plot,Plot ID,Topography,Latitude,Longitude,Cover1,Cover2,Cover3,Cover4,gdd_2016,gdd_2017,gdd_2018,sdd_2016,sdd_2017,sdd_2018
PA,1490,1,PA-1490-1,Ridge,"46°46'13.4414"" N "," 121°43'27.2708"" W",20,80,28,19,238,355,300,6/5/16,6/28/17,6/16/18
PA,1490,2,PA-1490-2,Ridge,"46°46'13.4707"" N"," 121°43'28.1247"" W",9,7,7,7,238,355,300,6/1/16,6/25/17,6/17/18
PA,1490,3,PA-1490-3,Ridge,"46°46'13.2867"" N"," 121°43'28.7511"" W",29,37,46,13,238,355,300,6/22/16,7/5/17,6/28/18
PA,1490,4,PA-1490-4,Slope,"46°46'13.9388"" N"," 121°43'27.9566"" W",28,25,93,96,238,355,300,6/26/16,7/8/17,7/1/18
PA,1490,5,PA-1490-5,Slope,"46°46'13.9525"" N"," 121°43'28.2319"" W",76,31,47,96,238,355,300,6/27/16,7/8/17,6/30/18
PA,1490,6,PA-1490-6,Slope,"46°46'13.9200"" N"," 121°43'28.8113"" W",22,83,96,48,238,355,300,6/26/16,7/9/17,6/30/18
PA,1490,7,PA-1490-7,Cove,"46°46'13.9230"" N"," 121°43'27.0517"" W",94,79,96,93,238,355,300,6/16/16,7/1/17,6/25/18
PA,1490,8,PA-1490-8,Cove,"46°46'14.0273"" N"," 121°43'27.5006"" W",82,81,96,96,238,355,300,6/15/16,7/1/17,6/25/18
PA,1490,9,PA-1490-9,Cove,"46°46'14.1014"" N"," 121°43'27.9379"" W",80,96,96,91,238,355,300,6/15/16,7/1/17,6/23/18
PA,1490,A1,PA-1490-A1,Air," 46°46'15.1796"" N"," 121°43'28.3544"" W",NA,NA,NA,NA,,,,,,
PA,1490,A2,PA-1490-A2,Air," 46°46'15.3153"" N"," 121°43'27.8593"" W",NA,NA,NA,NA,,,,,,
PA,1570,1,PA-1570-1,Ridge," 46°46'37.4818"" N"," 121°43'9.5477"" W",5,8,28,53,221,340,281,6/17/16,7/3/17,6/27/18
PA,1570,2,PA-1570-2,Ridge," 46°46'37.6567"" N"," 121°43'9.6227"" W",19,12,15,46,221,340,281,6/19/16,7/3/17,6/28/18
PA,1570,3,PA-1570-3,Ridge," 46°46'38.1153"" N"," 121°43'9.7224"" W",42,60,16,51,221,340,281,6/21/16,7/6/17,7/2/18
PA,1570,4,PA-1570-4,Slope," 46°46'37.2269"" N"," 121°43'9.1822"" W",34,50,96,74,221,340,281,6/29/16,6/22/17,6/14/18
PA,1570,5,PA-1570-5,Slope," 46°46'37.5753"" N"," 121°43'8.9042"" W",12,83,61,5,221,340,281,7/2/16,6/26/17,6/17/18
