Date collected,Year,Transect,Elevation,Species,Rep,Total seeds,Aborted,Intact,<5% damage,6-25% damage,>25% damage,Fraction_damaged,Fraction_heavily_damaged,Notes
8/8/18,2018,GB,1740,LUPARC,1,6,2,4,0,0,0,0,0,1 springtail outside
8/9/18,2018,GB,1740,LUPARC,1,6,1,2,3,0,0,0.5,0,1 springtail inside
8/10/18,2018,GB,1740,LUPARC,1,7,2,5,0,0,0,0,0,
8/11/18,2018,GB,1740,LUPARC,1,7,1,6,0,0,0,0,0,
8/12/18,2018,GB,1740,LUPARC,1,7,2,4,0,1,0,0.142857143,0,
8/13/18,2018,GB,1740,LUPARC,1,5,1,4,0,0,0,0,0,
8/14/18,2018,GB,1740,LUPARC,1,7,3,4,0,0,0,0,0,
8/15/18,2018,GB,1740,LUPARC,1,6,3,0,1,1,1,0.5,0.166666667,3 springtail inside (one inside a seed)
8/16/18,2018,GB,1740,LUPARC,1,7,3,0,3,0,1,0.571428571,0.142857143,3 springtail outside
8/17/18,2018,GB,1740,LUPARC,1,6,1,2,2,0,0,0.333333333,0,
8/18/18,2018,GB,1740,LUPARC,1,6,1,5,0,0,0,0,0,
8/6/18,2018,GB,1809,LUPARC,1,6,1,0,2,0,3,0.833333333,0.5,1 springtail outside
8/6/18,2018,GB,1809,LUPARC,1,7,2,0,2,1,2,0.714285714,0.285714286,1 springtail outside
8/6/18,2018,GB,1809,LUPARC,1,6,2,3,1,0,0,0.166666667,0,
8/6/18,2018,GB,1809,LUPARC,1,6,2,4,0,0,0,0,0,
8/6/18,2018,GB,1809,LUPARC,1,8,0,8,0,0,0,0,0,
8/6/18,2018,GB,1809,LUPARC,1,2,1,0,1,0,0,0.5,0,
8/6/18,2018,GB,1809,LUPARC,1,4,3,1,0,0,0,0,0,
8/6/18,2018,GB,1809,LUPARC,1,8,2,3,1,0,2,0.375,0.25,1 Schizophora maggots a seed 
8/6/18,2018,GB,1809,LUPARC,1,5,2,2,1,0,0,0.2,0,
8/6/18,2018,GB,1668,LUPARC,1,8,0,8,0,0,0,0,0,2 springtails outside
8/6/18,2018,GB,1668,LUPARC,1,7,4,1,0,0,2,0.285714286,0.285714286,2 springtails and 1 Schizophora maggots
8/6/18,2018,GB,1668,LUPARC,1,7,4,3,0,0,0,0,0,1 springtail outside
8/6/18,2018,GB,1668,LUPARC,1,7,4,3,0,0,0,0,0,3 springtails outside
8/6/18,2018,GB,1668,LUPARC,1,6,4,2,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,1,4,3,1,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,1,7,2,5,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,1,8,3,5,0,0,0,0,0,2 springtails outside
8/6/18,2018,GB,1668,LUPARC,2,7,2,5,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,2,5,2,3,0,0,0,0,0,1 springtail outside
8/6/18,2018,GB,1668,LUPARC,2,5,3,2,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,2,8,1,7,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,2,6,1,5,0,0,0,0,0,
8/6/18,2018,GB,1668,LUPARC,2,6,0,6,0,0,0,0,0,1 springtail outside
